input,valid_syntax,domain,is_disposable,is_role_based,is_blocked,is_suspicious,geo,typo_suggestion,mx_records,smtp_status,is_catch_all,score,status,external_check
info@townhousecleaning.com,True,townhousecleaning.com,False,True,False,False,CA,,['townhousecleaning-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@trigenservice.com,True,trigenservice.com,False,True,False,False,Unknown,,['trigenservice-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@truaxhovey.com,True,truaxhovey.com,False,True,False,False,Unknown,,['truaxhovey-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@trybestfence.com,True,trybestfence.com,False,True,False,False,US,,['trybestfence-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@truartsignco.com,True,truartsignco.com,False,True,False,False,Unknown,,['truartsignco-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@unitedconstructioncorp.com,True,unitedconstructioncorp.com,False,True,False,False,Unknown,,['unitedconstructioncorp-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@unitedwindowandglassrepair.com,False,,,,,,,,,,,0,Invalid Syntax,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@upwardcleaningservices.com,True,upwardcleaningservices.com,False,True,False,False,Unknown,,['upwardcleaningservices-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@vinconelectric.com,True,vinconelectric.com,False,True,False,False,Unknown,,['vinconelectric-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@verasecurityservices.com,True,verasecurityservices.com,False,True,False,False,US,,"['mx-biz.mail.am0.yahoodns.net', 'mx-biz.mail.am0.yahoodns.net', 'verasecurityservices-com.mail.protection.outlook.com']",Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@zamanconstruction.com,True,zamanconstruction.com,False,True,False,False,Unknown,,['zamanconstruction-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
inforose@rosefencecompany.com,True,rosefencecompany.com,False,False,False,True,Unknown,,['rosefencecompany-com.mail.protection.outlook.com'],Invalid,False,35,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
