input,valid_syntax,domain,is_disposable,is_role_based,is_blocked,is_suspicious,geo,typo_suggestion,mx_records,smtp_status,is_catch_all,score,status,external_check
info@regiment.nyc,True,regiment.nyc,False,True,False,False,US,,['regiment-nyc.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@restorationexperts.com,True,restorationexperts.com,False,True,False,False,Unknown,,['restorationexperts-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@restorednow.com,True,restorednow.com,False,True,False,False,US,,['restorednow-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@ridgelinesecuritygroup.com,True,ridgelinesecuritygroup.com,False,True,False,False,Unknown,,['ridgelinesecuritygroup-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rfcfence.com,True,rfcfence.com,False,True,False,False,REDACTED FOR PRIVACY,,['rfcfence-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rjgreenconstruction.com,True,rjgreenconstruction.com,False,True,False,False,Unknown,,['rjgreenconstruction-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@riteawaypest.com,True,riteawaypest.com,False,True,False,False,US,,['riteawaypest-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rmdelectric.nyc,True,rmdelectric.nyc,False,True,False,False,Unknown,,['rmdelectric-nyc.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@romanopaving.com,True,romanopaving.com,False,True,False,False,Unknown,,['romanopaving-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rochesterrigging.com,True,rochesterrigging.com,False,True,False,False,US,,"['spamtitan1.justinc.com', 'spamtitan2.justinc.com']",Unknown (500),False,60,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rw-painting.com,True,rw-painting.com,False,True,False,False,Unknown,,['rwpainting-com0e.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rooftopdrops.com,True,rooftopdrops.com,False,True,False,False,Unknown,,['rooftopdrops-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@rsgcaulking.com,True,rsgcaulking.com,False,True,False,False,Unknown,,['rsgcaulking-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@sanmarbuildingservices.com,True,sanmarbuildingservices.com,False,True,False,False,Unknown,,['sanmarbuildingservices-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@sbsnyc.com,True,sbsnyc.com,False,True,False,False,Unknown,,['sbsnyc-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@sec-curity.com,True,sec-curity.com,False,True,False,False,Unknown,,['seccurity-com0i.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nywood.net,True,nywood.net,False,True,False,False,US,,"['fallbackmx.spamexperts.eu', 'lastmx.spamexperts.net', 'mx.spamexperts.com']",SMTP Failed,False,65,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@segacontracting.com,True,segacontracting.com,False,True,False,False,Unknown,,['segacontracting-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@silvercupscaffolding.com,True,silvercupscaffolding.com,False,True,False,False,Unknown,,['silvercupscaffolding-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
