input,valid_syntax,domain,is_disposable,is_role_based,is_blocked,is_suspicious,geo,typo_suggestion,mx_records,smtp_status,is_catch_all,score,status,external_check
info@arrowblacktop.com,True,arrowblacktop.com,False,True,False,False,US,,['arrowblacktop-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@aspensecurity.org,True,aspensecurity.org,False,True,False,False,US,,['aspensecurity-org.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@atlanticnurseries.com,True,atlanticnurseries.com,False,True,False,False,Unknown,,['atlanticnurseries-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@bandvcontracting.com,True,bandvcontracting.com,False,True,False,False,Unknown,,['bandvcontracting-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@bayportcorp.com,True,bayportcorp.com,False,True,False,False,Unknown,,['bayportcorp-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@bbpoolandspa.com,True,bbpoolandspa.com,False,True,False,False,Unknown,,['bbpoolandspa-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@bedbuginspectiongroup.com,True,bedbuginspectiongroup.com,False,True,False,False,Unknown,,['bedbuginspectiongroup-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@bestbedbugheating.com,True,bestbedbugheating.com,False,True,False,False,Unknown,,['bestbedbugheating-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@bigapplesprinkler.com,True,bigapplesprinkler.com,False,True,False,False,Unknown,,"['mx1.mtaroutes.com', 'mx2.mtaroutes.com', 'mx3.mtaroutes.com', 'mx4.mtaroutes.com']",SMTP Failed,False,65,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@binghamtonenv.com,True,binghamtonenv.com,False,True,False,False,Unknown,,['binghamtonenv-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@boundcm.com,True,boundcm.com,False,True,False,False,US,,['boundcm-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
