input,valid_syntax,domain,is_disposable,is_role_based,is_blocked,is_suspicious,geo,typo_suggestion,mx_records,smtp_status,is_catch_all,score,status,external_check
info@mylocalservices.com,True,mylocalservices.com,False,True,False,False,GB,,['mylocalservices-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@naturallythebest.com,True,naturallythebest.com,False,True,False,False,Unknown,,['naturallythebest-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nesbestflex.com,True,nesbestflex.com,False,True,False,False,Unknown,,['nesbestflex-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nestructuralsteel.com,True,nestructuralsteel.com,False,True,False,False,Unknown,,['nestructuralsteel-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@newstylerecycling.com,True,newstylerecycling.com,False,True,False,False,Unknown,,['newstylerecycling-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nycfireguards.com,True,nycfireguards.com,False,True,False,False,Unknown,,['nycfireguards-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nycpest.com,True,nycpest.com,False,True,False,False,Unknown,,['nycpest.com'],SMTP Failed,False,65,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nycextermination.com,True,nycextermination.com,False,True,False,False,Unknown,,['nycextermination-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nydependablelawncare.com,True,nydependablelawncare.com,False,True,False,False,US,,['nydependablelawncare-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@njselectric.com,True,njselectric.com,False,True,False,False,Unknown,,['njselectric-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nypl1f.org,True,nypl1f.org,False,True,False,False,US,,['nypl1f-org.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nyhnb.com,True,nyhnb.com,False,True,False,False,Unknown,,['nyhnb-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nyroofing.com,True,nyroofing.com,False,True,False,False,Unknown,,['nyroofing-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nysfence.com,True,nysfence.com,False,True,False,False,Unknown,,['nysfence-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@nykb.com,True,nykb.com,False,True,False,False,US,,['nykb-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@oaks-construction.com,True,oaks-construction.com,False,True,False,False,Unknown,,['oaksconstruction-com01b.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
