input,valid_syntax,domain,is_disposable,is_role_based,is_blocked,is_suspicious,geo,typo_suggestion,mx_records,smtp_status,is_catch_all,score,status,external_check
info@amcccorp.com,True,amcccorp.com,False,True,False,False,Unknown,,"['d248742a.ess.barracudanetworks.com', 'd248742b.ess.barracudanetworks.com']",Valid,True,85,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arborpolitan.com,True,arborpolitan.com,False,True,False,False,CA,,"['alt1.aspmx.l.google.com', 'aspmx.l.google.com', 'aspmx2.googlemail.com', 'aspmx3.googlemail.com']",Valid,False,90,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@aquabrosplumbing.com,True,aquabrosplumbing.com,False,True,False,False,US,,"['alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'alt3.aspmx.l.google.com', 'alt4.aspmx.l.google.com', 'aspmx.l.google.com']",Valid,False,90,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arconyc.com,True,arconyc.com,False,True,False,False,Unknown,,['aspmx2.googlemail.com'],Valid,True,85,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arcaderoofingsolutions.com,True,arcaderoofingsolutions.com,False,True,False,False,Unknown,,['mail.arcaderoofingsolutions.com'],Valid,True,85,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arealgoodplumber.com,True,arealgoodplumber.com,False,True,False,False,US,,"['alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'alt3.aspmx.l.google.com', 'alt4.aspmx.l.google.com', 'aspmx.l.google.com']",Valid,False,90,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arcaderoofingny.com,True,arcaderoofingny.com,False,True,False,False,IS,,['mail.arcaderoofingny.com'],Valid,True,85,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arrowfence.net,True,arrowfence.net,False,True,False,False,Unknown,,"['alt1.aspmx.l.google.com', 'alt2.aspmx.l.google.com', 'alt3.aspmx.l.google.com', 'alt4.aspmx.l.google.com', 'aspmx.l.google.com', 'dstwbteuk62x7astiwtcshq4jjvgahc6uh6dkdz4mjtu4yu2h6la.mx-verification.google.com']",Valid,False,90,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@aronwindows.com,True,aronwindows.com,False,True,False,False,AL,,['mail.aronwindows.com'],Valid,True,85,Deliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
info@arrowblacktop.com,True,arrowblacktop.com,False,True,False,False,US,,['arrowblacktop-com.mail.protection.outlook.com'],Invalid,False,40,Undeliverable,"{'service_status': 'exception', 'error': 'Cannot connect to host api.example.com:443 ssl:default [getaddrinfo failed]'}"
